Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:31:32,0.72,0.67,-0.26,0.37,-0.49,0.12
2025-02-13,13:31:33,0.72,0.67,-0.26,0.79,-0.49,0.18
2025-02-13,13:31:33,0.72,0.67,-0.26,0.85,-0.49,0.31
2025-02-13,13:31:34,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:31:34,0.72,0.67,-0.26,1.10,-0.43,0.24
2025-02-13,13:31:35,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:31:35,0.72,0.67,-0.26,0.73,-0.49,0.18
2025-02-13,13:31:36,0.72,0.67,-0.26,1.22,-0.49,0.18
2025-02-13,13:31:36,0.72,0.67,-0.26,0.55,-0.49,0.18
2025-02-13,13:31:37,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:31:37,0.72,0.67,-0.26,1.10,-0.49,0.12
2025-02-13,13:31:38,0.72,0.67,-0.26,0.79,-0.55,0.18
2025-02-13,13:31:38,0.72,0.67,-0.26,0.55,-0.43,0.12
2025-02-13,13:31:39,0.72,0.67,-0.26,0.55,-0.55,0.24
2025-02-13,13:31:39,0.72,0.67,-0.26,1.59,-0.49,0.18
2025-02-13,13:31:40,0.72,0.67,-0.26,0.85,-0.49,0.12
2025-02-13,13:31:40,0.72,0.67,-0.26,0.73,-0.49,0.12
2025-02-13,13:31:41,0.72,0.67,-0.26,0.85,-0.43,0.12
2025-02-13,13:31:41,0.72,0.67,-0.26,0.79,-0.43,0.12
2025-02-13,13:31:42,0.72,0.67,-0.26,0.61,-0.49,0.18
2025-02-13,13:31:42,0.72,0.67,-0.26,0.92,-0.55,0.18
2025-02-13,13:31:43,0.72,0.67,-0.26,0.55,-0.49,0.12
2025-02-13,13:31:43,0.72,0.67,-0.26,0.92,-0.49,0.31
2025-02-13,13:31:44,0.72,0.67,-0.26,1.28,-0.49,0.24
2025-02-13,13:31:44,0.72,0.67,-0.26,1.53,-0.49,0.31
2025-02-13,13:31:45,0.72,0.67,-0.26,0.12,-0.49,0.06
2025-02-13,13:31:45,0.72,0.67,-0.26,1.53,-0.43,0.18
2025-02-13,13:31:46,0.72,0.67,-0.26,0.79,-0.49,0.18
2025-02-13,13:31:46,0.72,0.67,-0.26,1.04,-0.49,0.18
2025-02-13,13:31:47,0.72,0.67,-0.26,1.22,-0.49,0.24
2025-02-13,13:31:47,0.72,0.67,-0.26,0.85,-0.49,0.18
2025-02-13,13:31:48,0.72,0.67,-0.26,1.10,-0.49,0.24
2025-02-13,13:31:48,0.72,0.67,-0.26,1.46,-0.49,0.31
2025-02-13,13:31:49,0.72,0.67,-0.26,1.22,-0.55,0.18
2025-02-13,13:31:49,0.72,0.67,-0.26,-0.18,-0.49,0.12
2025-02-13,13:31:50,0.72,0.67,-0.26,-0.49,-0.49,0.00
2025-02-13,13:31:50,0.72,0.67,-0.27,1.10,-0.49,0.12
2025-02-13,13:31:51,0.72,0.67,-0.26,0.37,-0.49,0.00
2025-02-13,13:31:51,0.72,0.67,-0.26,0.49,-0.43,0.00
2025-02-13,13:31:52,0.72,0.67,-0.25,2.75,-0.31,0.85
2025-02-13,13:31:52,0.73,0.67,-0.26,1.46,-0.49,0.18
2025-02-13,13:31:53,0.72,0.67,-0.28,1.10,-0.37,-0.55
2025-02-13,13:31:53,0.72,0.69,-0.27,-9.52,-0.06,-2.26
2025-02-13,13:31:54,0.72,0.68,-0.25,-0.12,-0.31,-0.12
2025-02-13,13:31:54,0.72,0.67,-0.28,3.05,-0.18,-0.43
2025-02-13,13:31:55,0.72,0.67,-0.26,-0.92,-0.49,-0.06
2025-02-13,13:31:55,0.72,0.67,-0.26,1.16,-0.49,-0.12
2025-02-13,13:31:56,0.72,0.68,-0.26,0.85,-0.43,0.31
2025-02-13,13:31:56,0.72,0.68,-0.27,-1.77,-0.43,-0.73
2025-02-13,13:31:57,0.72,0.67,-0.25,-0.31,-0.43,0.43
